parameter, value, description, unit
c,      28.57,  leaf lifespan parameter,            yr kgC-1 m2
A,      1.5,    functional leaf N,                  gN m-2
B,      8,      structural leaf N,                  gN kgC-1
r,      0.015,  leaf respiration parameter,         kgC gN-1 yr-1
V,      1.2,    photosynthesis parameter,           kgC m-2 yr-1
k,      0.5,    saturate rate of carbon gain w/LAI, unitless 
G,      1.33333,Growth of carbon cost,              unitless 
s,      500,    soil decomposition residence time,  yr kgC m-2
a_r,    0.5,      allocation to roots,              unitless
u,      0.5,   N uptake ability constant,          yr gN-1
N_tot,  100,    total N in system,                  gN
